Dataset,Horizon,Model,MSE,MAE
Weather,96,TimesNet,0.184,0.230
Weather,192,TimesNet,0.245,0.283
Weather,336,TimesNet,0.305,0.321
Weather,720,TimesNet,0.381,0.371
Weather,Avg,TimesNet,0.279,0.301
Weather,96,FEDformer,0.188,0.253
Weather,192,FEDformer,0.250,0.304
Weather,336,FEDformer,0.312,0.346
Weather,720,FEDformer,0.387,0.393
Weather,Avg,FEDformer,0.284,0.324
Weather,96,Autoformer,0.221,0.297
Weather,192,Autoformer,0.270,0.322
Weather,336,Autoformer,0.320,0.351
Weather,720,Autoformer,0.390,0.396
Weather,Avg,Autoformer,0.300,0.342
Weather,96,Stationary,0.192,0.234
Weather,192,Stationary,0.269,0.295
Weather,336,Stationary,0.370,0.357
Weather,720,Stationary,0.441,0.405
Weather,Avg,Stationary,0.318,0.323
Weather,96,ETSformer,0.199,0.272
Weather,192,ETSformer,0.279,0.332
Weather,336,ETSformer,0.356,0.386
Weather,720,ETSformer,0.437,0.448
Weather,Avg,ETSformer,0.318,0.360
Weather,96,LightTS,0.217,0.269
Weather,192,LightTS,0.259,0.304
Weather,336,LightTS,0.303,0.334
Weather,720,LightTS,0.377,0.382
Weather,Avg,LightTS,0.289,0.322
Weather,96,Informer,0.374,0.401
Weather,192,Informer,0.552,0.478
Weather,336,Informer,724,0.541
Weather,720,Informer,0.739,0.558
Weather,Avg,Informer,0.597,0.495
Weather,96,Reformer,0.335,0.380
Weather,192,Reformer,0.522,0.462
Weather,336,Reformer,0.715,0.535
Weather,720,Reformer,0.611,0.500
Weather,Avg,Reformer,0.546,0.469
Electricity,96,RDTU,0.141,0.237
Electricity,192,RDTU,0.153,0.247
Electricity,336,RDTU,0.171,0.269
Electricity,720,RDTU,0.227,0.318
Electricity,Avg,RDTU,0.173,0.268
Electricity,96,Time-LLM,0.139,0.241
Electricity,192,Time-LLM,0.151,0.248
Electricity,336,Time-LLM,0.169,0.270
Electricity,720,Time-LLM,0.240,0.322
Electricity,Avg,Time-LLM,0.175,0.270
Electricity,96,GPT4TS,0.139,0.237
Electricity,192,GPT4TS,0.156,0.252
Electricity,336,GPT4TS,0.175,0.270
Electricity,720,GPT4TS,0.233,0.317
Electricity,Avg,GPT4TS,0.176,0.269
Electricity,96,DLinear,0.150,0.253
Electricity,192,DLinear,0.164,0.264
Electricity,336,DLinear,0.181,0.282
Electricity,720,DLinear,0.223,0.321
Electricity,Avg,DLinear,0.180,0.280
Electricity,96,PatchTST,0.140,0.238
Electricity,192,PatchTST,0.160,0.255
Electricity,336,PatchTST,0.180,0.276
Electricity,720,PatchTST,0.241,0.323
Electricity,Avg,PatchTST,0.180,0.273
Electricity,96,TimesNet,0.299,0.373
Electricity,192,TimesNet,0.305,0.379
Electricity,336,TimesNet,0.319,0.391
Electricity,720,TimesNet,0.369,0.426
Electricity,Avg,TimesNet,0.323,0.392
Electricity,96,FEDformer,0.231,0.323
Electricity,192,FEDformer,0.261,0.356
Electricity,336,FEDformer,0.360,0.445
Electricity,720,FEDformer,0.530,0.585
Electricity,Avg,FEDformer,0.346,0.427
Electricity,96,Autoformer,0.261,0.348
Electricity,192,Autoformer,0.338,0.406
Electricity,336,Autoformer,0.410,0.474
Electricity,720,Autoformer,0.715,0.685
Electricity,Avg,Autoformer,0.431,0.478
Electricity,96,Stationary,0.420,0.466
Electricity,192,Stationary,0.411,0.459
Electricity,336,Stationary,0.434,0.473
Electricity,720,Stationary,0.510,0.521
Electricity,Avg,Stationary,0.444,0.480
Electricity,96,ETSformer,0.599,0.587
Electricity,192,ETSformer,0.620,0.598
Electricity,336,ETSformer,0.662,0.619
Electricity,720,ETSformer,0.757,0.664
Electricity,Avg,ETSformer,0.660,0.617
Electricity,96,LightTS,0.350,0.425
Electricity,192,LightTS,0.376,0.448
Electricity,336,LightTS,0.428,0.485
Electricity,720,LightTS,0.611,0.597
Electricity,Avg,LightTS,0.441,0.489
Electricity,96,Informer,1.259,0.919
Electricity,192,Informer,1.160,0.873
Electricity,336,Informer,1.157,0.872
Electricity,720,Informer,1.203,0.898
Electricity,Avg,Informer,1.195,0.891
