Dataset,Horizon,Model,MSE,MAE
ETTm1 → ETTm2,336,GPT4TS,0.331,0.360
ETTm1 → ETTm2,720,GPT4TS,0.429,0.413
ETTm1 → ETTm2,Avg,GPT4TS,0.313,0.348
ETTm1 → ETTm2,96,DLinear,0.221,0.314
ETTm1 → ETTm2,192,DLinear,0.286,0.359
ETTm1 → ETTm2,336,DLinear,0.357,0.406
ETTm1 → ETTm2,720,DLinear,0.476,0.476
ETTm1 → ETTm2,Avg,DLinear,0.335,0.389
ETTm1 → ETTm2,96,PatchTST,0.195,0.271
ETTm1 → ETTm2,192,PatchTST,0.258,0.311
ETTm1 → ETTm2,336,PatchTST,0.317,0.348
ETTm1 → ETTm2,720,PatchTST,0.416,0.404
ETTm1 → ETTm2,Avg,PatchTST,0.296,0.334
ETTm1 → ETTm2,96,TimesNet,0.222,0.295
ETTm1 → ETTm2,192,TimesNet,0.288,0.337
ETTm1 → ETTm2,336,TimesNet,0.341,0.367
ETTm1 → ETTm2,720,TimesNet,0.436,0.418
ETTm1 → ETTm2,Avg,TimesNet,0.322,0.354
ETTm1 → ETTm2,96,Autoformer,0.385,0.457
ETTm1 → ETTm2,192,Autoformer,0.433,0.469
ETTm1 → ETTm2,336,Autoformer,0.476,0.477
ETTm1 → ETTm2,720,Autoformer,0.582,0.535
ETTm1 → ETTm2,Avg,Autoformer,0.469,0.484
ETTm2 → ETTh2,96,RDTU,0.295,0.351
ETTm2 → ETTh2,192,RDTU,0.356,0.392
ETTm2 → ETTh2,336,RDTU,0.363,0.407
ETTm2 → ETTh2,720,RDTU,0.388,0.429
ETTm2 → ETTh2,Avg,RDTU,0.351,0.395
ETTm2 → ETTh2,96,Time-LLM,0.298,0.356
ETTm2 → ETTh2,192,Time-LLM,0.359,0.397
ETTm2 → ETTh2,336,Time-LLM,0.367,0.412
ETTm2 → ETTh2,720,Time-LLM,0.393,0.434
ETTm2 → ETTh2,Avg,Time-LLM,0.354,0.400
ETTm2 → ETTh2,96,LLMTime,0.510,0.576
ETTm2 → ETTh2,192,LLMTime,0.523,0.586
ETTm2 → ETTh2,336,LLMTime,0.640,0.637
ETTm2 → ETTh2,720,LLMTime,2.296,1.034
ETTm2 → ETTh2,Avg,LLMTime,0.992,0.708
ETTm2 → ETTh2,96,GPT4TS,0.360,0.401
ETTm2 → ETTh2,192,GPT4TS,0.434,0.437
ETTm2 → ETTh2,336,GPT4TS,0.460,0.459
ETTm2 → ETTh2,720,GPT4TS,0.485,0.477
ETTm2 → ETTh2,Avg,GPT4TS,0.435,0.443
ETTm2 → ETTh2,96,DLinear,0.333,0.391
ETTm2 → ETTh2,192,DLinear,0.441,0.456
ETTm2 → ETTh2,336,DLinear,0.505,0.503
ETTm2 → ETTh2,720,DLinear,0.543,0.534
ETTm2 → ETTh2,Avg,DLinear,0.455,0.471
ETTm2 → ETTh2,96,PatchTST,0.327,0.367
ETTm2 → ETTh2,192,PatchTST,0.411,0.418
ETTm2 → ETTh2,336,PatchTST,0.439,0.447
ETTm2 → ETTh2,720,PatchTST,0.459,0.470
ETTm2 → ETTh2,Avg,PatchTST,0.409,0.425
ETTm2 → ETTh2,96,TimesNet,0.360,0.401
ETTm2 → ETTh2,192,TimesNet,0.434,0.437
ETTm2 → ETTh2,336,TimesNet,0.460,0.459
ETTm2 → ETTh2,720,TimesNet,0.485,0.477
ETTm2 → ETTh2,Avg,TimesNet,0.435,0.443
ETTm2 → ETTh2,96,Autoformer,0.353,0.393
ETTm2 → ETTh2,192,Autoformer,0.432,0.437
ETTm2 → ETTh2,336,Autoformer,0.452,0.459
ETTm2 → ETTh2,720,Autoformer,0.453,0.467
ETTm2 → ETTh2,Avg,Autoformer,0.423,0.439
ETTm2 → ETTm1,96,RDTU,0.356,0.394
ETTm2 → ETTm1,192,RDTU,0.386,0.414
ETTm2 → ETTm1,336,RDTU,0.419,0.440
ETTm2 → ETTm1,720,RDTU,0.485,0.487
ETTm2 → ETTm1,Avg,RDTU,0.412,0.434
ETTm2 → ETTm1,96,Time-LLM,0.359,0.397
ETTm2 → ETTm1,192,Time-LLM,0.390,0.420
ETTm2 → ETTm1,336,Time-LLM,0.421,0.445
ETTm2 → ETTm1,720,Time-LLM,0.487,0.488
ETTm2 → ETTm1,Avg,Time-LLM,0.414,0.438
ETTm2 → ETTm1,96,LLMTime,1.179,0.781
ETTm2 → ETTm1,192,LLMTime,1.327,0.846
ETTm2 → ETTm1,336,LLMTime,1.478,0.902
ETTm2 → ETTm1,720,LLMTime,3.749,1.408
ETTm2 → ETTm1,Avg,LLMTime,1.933,0.984
ETTm2 → ETTm1,96,GPT4TS,0.747,0.558
ETTm2 → ETTm1,192,GPT4TS,0.781,0.560
ETTm2 → ETTm1,336,GPT4TS,0.778,0.578
ETTm2 → ETTm1,720,GPT4TS,0.769,0.573
ETTm2 → ETTm1,Avg,GPT4TS,0.769,0.567
ETTm2 → ETTm1,96,DLinear,0.570,0.490
ETTm2 → ETTm1,192,DLinear,0.590,0.506
ETTm2 → ETTm1,336,DLinear,0.706,0.567
ETTm2 → ETTm1,720,DLinear,0.731,0.584
ETTm2 → ETTm1,Avg,DLinear,0.649,0.537
ETTm2 → ETTm1,96,PatchTST,0.491,0.437
ETTm2 → ETTm1,192,PatchTST,0.530,0.470
ETTm2 → ETTm1,336,PatchTST,0.565,0.497
ETTm2 → ETTm1,720,PatchTST,0.686,0.565
ETTm2 → ETTm1,Avg,PatchTST,0.568,0.492
ETTm2 → ETTm1,96,TimesNet,0.747,0.558
ETTm2 → ETTm1,192,TimesNet,0.781,0.560
ETTm2 → ETTm1,336,TimesNet,0.778,0.578
ETTm2 → ETTm1,720,TimesNet,0.769,0.573
ETTm2 → ETTm1,Avg,TimesNet,0.769,0.567
ETTm2 → ETTm1,96,Autoformer,0.735,0.576
ETTm2 → ETTm1,192,Autoformer,0.753,0.586
ETTm2 → ETTm1,336,Autoformer,0.750,0.593
ETTm2 → ETTm1,720,Autoformer,0.782,0.609
ETTm2 → ETTm1,Avg,Autoformer,0.755,0.591
